"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
1767747,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","371650101011",4
1767748,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","450699604002",4
1767749,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","450699604003",4
1767750,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","450699603015",4
1767751,"restaurant_87","SC","Limited-Service Restaurants","Chicken,Chicken Wings,Pizza,Snacks,Vegetarian Food","450259505023",4
1791574,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374085011",43
1791575,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374084012",26
1791576,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086311",22
1791577,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374084011",20
1791578,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374084023",14
1791579,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374082022",13
1791580,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086302",12
1791581,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374084022",12
1791582,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374082111",11
1791583,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374077021",11
1791584,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374077012",11
1791585,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374085051",9
1791586,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086312",8
1791587,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374084021",8
1791588,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086291",8
1791589,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374073021",7
